=================================================
                RAPPORT RELEVÉS IoT              
=================================================
Date : 2026-02-24

Type;Valeur;Unité;Capteur
Pluviométrie;6.49;mm;7
Luminosité;62669.19;lux;8
Vitesse du vent;30.68;km/h;9
Humidité du sol;48.9;%;4
pH du sol;7.31;pH;5
Humidité du sol;58.85;%;4
pH du sol;6.76;pH;5
Pluviométrie;3.32;mm;7
Luminosité;36003.39;lux;8
Vitesse du vent;7.53;km/h;9
Humidité du sol;43.44;%;4
pH du sol;6.99;pH;5
Pluviométrie;8.44;mm;7
Luminosité;96071.91;lux;8
Vitesse du vent;3.14;km/h;9
Luminosité;46857.79;lux;8
Vitesse du vent;2.92;km/h;9
Humidité du sol;70.39;%;4
pH du sol;6.05;pH;5
Pluviométrie;3.83;mm;7
Humidité du sol;51.17;%;4
pH du sol;7.03;pH;5
Pluviométrie;9.68;mm;7
Luminosité;23933.19;lux;8
Vitesse du vent;4.31;km/h;9
Humidité du sol;56.14;%;4
pH du sol;6.99;pH;5
Pluviométrie;5.35;mm;7
Luminosité;17311.52;lux;8
Vitesse du vent;45.22;km/h;9
Humidité du sol;60.18;%;4
pH du sol;6.43;pH;5
Pluviométrie;3.37;mm;7
Luminosité;50947.4;lux;8
Vitesse du vent;44.59;km/h;9
Humidité du sol;42.69;%;4
pH du sol;7.11;pH;5
Pluviométrie;1.9;mm;7
Luminosité;45147.17;lux;8
Vitesse du vent;48.76;km/h;9
Humidité du sol;48.86;%;4
pH du sol;7.11;pH;5
Pluviométrie;3.11;mm;7
Luminosité;14544.97;lux;8
Vitesse du vent;14.24;km/h;9
Humidité du sol;41.17;%;4
pH du sol;7.0;pH;5
Pluviométrie;7.82;mm;7
Luminosité;92408.56;lux;8
Vitesse du vent;34.97;km/h;9
Humidité du sol;52.2;%;4
pH du sol;6.5;pH;5
Pluviométrie;1.91;mm;7
Luminosité;84336.56;lux;8
Vitesse du vent;14.19;km/h;9
Humidité du sol;67.23;%;4
pH du sol;6.15;pH;5
Pluviométrie;0.41;mm;7
Luminosité;80179.18;lux;8
Vitesse du vent;48.93;km/h;9
Humidité du sol;45.16;%;4
pH du sol;6.55;pH;5
Pluviométrie;5.7;mm;7
Luminosité;43964.27;lux;8
Vitesse du vent;11.03;km/h;9
Humidité du sol;69.32;%;4
pH du sol;7.09;pH;5
Pluviométrie;7.16;mm;7
Luminosité;42134.73;lux;8
Vitesse du vent;12.06;km/h;9
Humidité du sol;73.52;%;4
pH du sol;6.88;pH;5
Pluviométrie;1.91;mm;7
Luminosité;91807.05;lux;8
Vitesse du vent;47.07;km/h;9
Pluviométrie;2.85;mm;7
Luminosité;18531.66;lux;8
Vitesse du vent;22.98;km/h;9
Humidité du sol;74.54;%;4
pH du sol;6.09;pH;5
Humidité du sol;63.13;%;4
pH du sol;7.18;pH;5
Pluviométrie;1.2;mm;7
Luminosité;9651.11;lux;8
Vitesse du vent;22.82;km/h;9
Humidité du sol;68.34;%;4
pH du sol;6.56;pH;5
Pluviométrie;0.26;mm;7
Luminosité;12159.92;lux;8
Vitesse du vent;0.89;km/h;9
Humidité du sol;42.42;%;4
pH du sol;6.57;pH;5
Pluviométrie;7.13;mm;7
Luminosité;67150.08;lux;8
Vitesse du vent;25.37;km/h;9
Humidité du sol;74.02;%;4
pH du sol;6.76;pH;5
Pluviométrie;3.46;mm;7
Luminosité;65268.26;lux;8
Vitesse du vent;17.87;km/h;9
Humidité du sol;61.22;%;4
pH du sol;6.8;pH;5
Pluviométrie;8.32;mm;7
Luminosité;80681.73;lux;8
Vitesse du vent;5.69;km/h;9
Humidité du sol;77.53;%;4
pH du sol;6.17;pH;5
Pluviométrie;7.54;mm;7
Luminosité;36616.58;lux;8
Vitesse du vent;0.37;km/h;9
Humidité du sol;53.14;%;4
pH du sol;7.25;pH;5
Pluviométrie;8.87;mm;7
Luminosité;3849.24;lux;8
Vitesse du vent;26.74;km/h;9
Humidité du sol;65.29;%;4
pH du sol;6.12;pH;5
Pluviométrie;1.67;mm;7
Luminosité;77403.64;lux;8
Vitesse du vent;47.25;km/h;9
Humidité du sol;57.93;%;4
pH du sol;6.79;pH;5
Pluviométrie;1.54;mm;7
Luminosité;246.87;lux;8
Vitesse du vent;13.94;km/h;9
Pluviométrie;0.85;mm;7
Luminosité;81068.83;lux;8
Vitesse du vent;47.77;km/h;9
Humidité du sol;56.0;%;4
pH du sol;7.41;pH;5
Humidité du sol;42.91;%;4
pH du sol;7.22;pH;5
Pluviométrie;2.53;mm;7
Luminosité;41674.06;lux;8
Vitesse du vent;40.75;km/h;9
Humidité du sol;72.46;%;4
pH du sol;7.41;pH;5
Pluviométrie;3.79;mm;7
Luminosité;3543.3;lux;8
Vitesse du vent;21.01;km/h;9
Humidité du sol;45.2;%;4
pH du sol;6.25;pH;5
Pluviométrie;3.81;mm;7
Luminosité;73851.93;lux;8
Vitesse du vent;49.73;km/h;9
Humidité du sol;42.18;%;4
pH du sol;6.08;pH;5
Pluviométrie;9.19;mm;7
Luminosité;91364.32;lux;8
Vitesse du vent;43.08;km/h;9
Pluviométrie;6.17;mm;7
Luminosité;5310.87;lux;8
Vitesse du vent;29.32;km/h;9
Humidité du sol;54.56;%;4
pH du sol;7.28;pH;5
Humidité du sol;46.13;%;4
pH du sol;6.53;pH;5
Pluviométrie;7.4;mm;7
Luminosité;83768.79;lux;8
Vitesse du vent;15.07;km/h;9
Humidité du sol;48.34;%;4
pH du sol;6.85;pH;5
Pluviométrie;7.34;mm;7
Luminosité;24532.27;lux;8
Vitesse du vent;6.57;km/h;9
Humidité du sol;72.72;%;4
pH du sol;6.13;pH;5
Pluviométrie;2.37;mm;7
Luminosité;43396.11;lux;8
Vitesse du vent;11.08;km/h;9
Humidité du sol;66.91;%;4
pH du sol;6.23;pH;5
Pluviométrie;6.76;mm;7
Luminosité;60151.61;lux;8
Vitesse du vent;26.39;km/h;9
Humidité du sol;49.23;%;4
pH du sol;7.49;pH;5
Pluviométrie;1.34;mm;7
Luminosité;59829.99;lux;8
Vitesse du vent;32.41;km/h;9
Humidité du sol;68.14;%;4
pH du sol;6.29;pH;5
Pluviométrie;6.14;mm;7
Luminosité;3403.96;lux;8
Vitesse du vent;10.48;km/h;9
Humidité du sol;66.86;%;4
pH du sol;7.45;pH;5
Pluviométrie;9.1;mm;7
Luminosité;77303.61;lux;8
Vitesse du vent;10.25;km/h;9
Humidité du sol;69.18;%;4
pH du sol;6.23;pH;5
Pluviométrie;5.07;mm;7
Luminosité;20578.8;lux;8
Vitesse du vent;45.25;km/h;9
Humidité du sol;71.98;%;4
pH du sol;7.44;pH;5
Pluviométrie;9.62;mm;7
Luminosité;7903.47;lux;8
Vitesse du vent;13.41;km/h;9
Humidité du sol;61.11;%;4
pH du sol;7.44;pH;5
Pluviométrie;1.68;mm;7
Luminosité;43532.25;lux;8
Vitesse du vent;18.7;km/h;9
Humidité du sol;72.27;%;4
pH du sol;7.02;pH;5
Pluviométrie;9.19;mm;7
Luminosité;63928.02;lux;8
Vitesse du vent;7.64;km/h;9
Humidité du sol;43.84;%;4
pH du sol;6.11;pH;5
Pluviométrie;0.61;mm;7
Luminosité;40106.18;lux;8
Vitesse du vent;12.89;km/h;9
Humidité du sol;79.33;%;4
pH du sol;6.85;pH;5
Pluviométrie;6.5;mm;7
Luminosité;44242.37;lux;8
Vitesse du vent;33.82;km/h;9
Humidité du sol;68.09;%;4
pH du sol;6.32;pH;5
Pluviométrie;5.81;mm;7
Luminosité;25430.58;lux;8
Vitesse du vent;21.25;km/h;9
Humidité du sol;43.59;%;4
pH du sol;6.35;pH;5
Pluviométrie;0.49;mm;7
Luminosité;80751.51;lux;8
Vitesse du vent;31.18;km/h;9
Humidité du sol;77.34;%;4
pH du sol;6.64;pH;5
Pluviométrie;8.99;mm;7
Luminosité;95781.34;lux;8
Vitesse du vent;24.23;km/h;9
Humidité du sol;41.19;%;4
pH du sol;7.25;pH;5
Pluviométrie;7.32;mm;7
Luminosité;71767.0;lux;8
Vitesse du vent;13.62;km/h;9
Humidité du sol;51.15;%;4
pH du sol;6.37;pH;5
Pluviométrie;6.83;mm;7
Luminosité;49155.29;lux;8
Vitesse du vent;24.54;km/h;9
Humidité du sol;62.39;%;4
pH du sol;6.01;pH;5
Pluviométrie;6.6;mm;7
Luminosité;19706.79;lux;8
Vitesse du vent;39.22;km/h;9
Humidité du sol;52.02;%;4
pH du sol;6.76;pH;5
Pluviométrie;7.0;mm;7
Luminosité;24824.66;lux;8
Vitesse du vent;19.22;km/h;9
Humidité du sol;40.53;%;4
pH du sol;6.33;pH;5
Pluviométrie;8.05;mm;7
Luminosité;17665.62;lux;8
Vitesse du vent;41.59;km/h;9
Humidité du sol;45.94;%;4
pH du sol;6.84;pH;5
Pluviométrie;0.94;mm;7
Luminosité;7532.8;lux;8
Vitesse du vent;32.44;km/h;9
Humidité du sol;59.63;%;4
pH du sol;7.25;pH;5
Pluviométrie;7.65;mm;7
Luminosité;14519.6;lux;8
Vitesse du vent;19.84;km/h;9
Humidité du sol;66.69;%;4
pH du sol;6.76;pH;5
Pluviométrie;5.57;mm;7
Luminosité;49267.88;lux;8
Vitesse du vent;41.46;km/h;9
Humidité du sol;60.84;%;4
pH du sol;6.52;pH;5
Pluviométrie;8.58;mm;7
Luminosité;23897.35;lux;8
Vitesse du vent;30.26;km/h;9
Humidité du sol;45.35;%;4
pH du sol;7.14;pH;5
Pluviométrie;3.54;mm;7
Luminosité;25357.17;lux;8
Vitesse du vent;33.85;km/h;9
pH du sol;7.46;pH;5
Pluviométrie;6.98;mm;7
Luminosité;95801.64;lux;8
Vitesse du vent;22.25;km/h;9
Humidité du sol;49.06;%;4
Humidité du sol;45.63;%;4
pH du sol;6.2;pH;5
Pluviométrie;4.85;mm;7
Luminosité;54372.94;lux;8
Vitesse du vent;2.84;km/h;9
Humidité du sol;45.01;%;4
pH du sol;6.87;pH;5
Pluviométrie;6.91;mm;7
Luminosité;69526.21;lux;8
Vitesse du vent;15.35;km/h;9
Humidité du sol;75.4;%;4
pH du sol;6.57;pH;5
Pluviométrie;5.04;mm;7
Luminosité;33454.64;lux;8
Vitesse du vent;42.82;km/h;9
Humidité du sol;48.31;%;4
pH du sol;6.27;pH;5
Pluviométrie;4.77;mm;7
Luminosité;9614.56;lux;8
Vitesse du vent;9.21;km/h;9
Humidité du sol;59.97;%;4
pH du sol;6.49;pH;5
Pluviométrie;7.37;mm;7
Luminosité;96006.27;lux;8
Vitesse du vent;37.95;km/h;9
Humidité du sol;62.69;%;4
pH du sol;7.48;pH;5
Pluviométrie;2.15;mm;7
Luminosité;49197.02;lux;8
Vitesse du vent;31.53;km/h;9
Humidité du sol;43.66;%;4
pH du sol;6.34;pH;5
Pluviométrie;8.36;mm;7
Luminosité;58958.05;lux;8
Vitesse du vent;33.91;km/h;9
Humidité du sol;42.78;%;4
pH du sol;6.42;pH;5
Pluviométrie;8.53;mm;7
Luminosité;18448.92;lux;8
Vitesse du vent;9.02;km/h;9
Humidité du sol;63.61;%;4
pH du sol;7.12;pH;5
Pluviométrie;1.75;mm;7
Luminosité;41028.47;lux;8
Vitesse du vent;45.41;km/h;9
Humidité du sol;64.82;%;4
pH du sol;6.93;pH;5
Pluviométrie;5.04;mm;7
Luminosité;96318.29;lux;8
Vitesse du vent;19.59;km/h;9
Humidité du sol;70.74;%;4
pH du sol;6.49;pH;5
Pluviométrie;1.93;mm;7
Luminosité;51715.45;lux;8
Vitesse du vent;9.91;km/h;9
Humidité du sol;55.9;%;4
pH du sol;6.67;pH;5
Pluviométrie;4.79;mm;7
Luminosité;41041.36;lux;8
Vitesse du vent;23.55;km/h;9
Humidité du sol;48.53;%;4
pH du sol;7.1;pH;5
Pluviométrie;4.53;mm;7
Luminosité;702.61;lux;8
Vitesse du vent;30.88;km/h;9
Humidité du sol;64.68;%;4
pH du sol;6.49;pH;5
Pluviométrie;3.19;mm;7
Luminosité;51658.81;lux;8
Vitesse du vent;7.11;km/h;9
Humidité du sol;67.95;%;4
pH du sol;7.06;pH;5
Pluviométrie;8.75;mm;7
Luminosité;7029.63;lux;8
Vitesse du vent;15.02;km/h;9
Humidité du sol;55.27;%;4
pH du sol;7.24;pH;5
Pluviométrie;1.89;mm;7
Luminosité;88060.96;lux;8
Vitesse du vent;48.43;km/h;9
Humidité du sol;40.34;%;4
pH du sol;7.31;pH;5
Pluviométrie;1.31;mm;7
Luminosité;12572.33;lux;8
Vitesse du vent;28.42;km/h;9
Humidité du sol;70.54;%;4
pH du sol;6.03;pH;5
Pluviométrie;0.84;mm;7
Luminosité;54092.46;lux;8
Vitesse du vent;36.57;km/h;9
Humidité du sol;51.86;%;4
pH du sol;6.7;pH;5
Pluviométrie;9.15;mm;7
Luminosité;76508.19;lux;8
Vitesse du vent;20.67;km/h;9
Humidité du sol;73.44;%;4
pH du sol;7.14;pH;5
Pluviométrie;5.92;mm;7
Luminosité;64245.92;lux;8
Vitesse du vent;16.42;km/h;9
Humidité du sol;53.64;%;4
pH du sol;7.45;pH;5
Pluviométrie;1.88;mm;7
Luminosité;78806.61;lux;8
Vitesse du vent;23.23;km/h;9
Humidité du sol;69.71;%;4
pH du sol;6.78;pH;5
Pluviométrie;4.93;mm;7
Luminosité;41803.39;lux;8
Vitesse du vent;44.85;km/h;9
Humidité du sol;68.55;%;4
pH du sol;7.25;pH;5
Pluviométrie;7.41;mm;7
Luminosité;14748.05;lux;8
Vitesse du vent;41.56;km/h;9
Humidité du sol;74.82;%;4
pH du sol;7.04;pH;5
Pluviométrie;2.46;mm;7
Luminosité;49160.48;lux;8
Vitesse du vent;41.72;km/h;9
Humidité du sol;61.95;%;4
pH du sol;6.98;pH;5
Pluviométrie;4.19;mm;7
Luminosité;6885.56;lux;8
Vitesse du vent;22.59;km/h;9
Humidité du sol;40.89;%;4
pH du sol;6.07;pH;5
Pluviométrie;7.03;mm;7
Luminosité;69447.64;lux;8
Vitesse du vent;6.15;km/h;9
Humidité du sol;72.25;%;4
pH du sol;6.5;pH;5
Pluviométrie;1.34;mm;7
Luminosité;48238.38;lux;8
Vitesse du vent;3.49;km/h;9
Humidité du sol;47.76;%;4
pH du sol;6.65;pH;5
Pluviométrie;3.03;mm;7
Luminosité;32838.77;lux;8
Vitesse du vent;45.9;km/h;9
Humidité du sol;45.2;%;4
pH du sol;7.04;pH;5
Pluviométrie;1.93;mm;7
Luminosité;80190.03;lux;8
Vitesse du vent;16.14;km/h;9
pH du sol;6.14;pH;5
Pluviométrie;5.44;mm;7
Luminosité;22294.87;lux;8
Vitesse du vent;42.92;km/h;9
Humidité du sol;48.97;%;4
Humidité du sol;49.71;%;4
pH du sol;6.34;pH;5
Pluviométrie;8.13;mm;7
Luminosité;73773.74;lux;8
Vitesse du vent;7.52;km/h;9
Humidité du sol;71.7;%;4
pH du sol;6.89;pH;5
Pluviométrie;8.82;mm;7
Luminosité;90105.02;lux;8
Vitesse du vent;11.31;km/h;9
Humidité du sol;40.65;%;4
pH du sol;7.13;pH;5
Pluviométrie;2.3;mm;7
Luminosité;16630.97;lux;8
Vitesse du vent;8.26;km/h;9
Humidité du sol;79.34;%;4
pH du sol;7.46;pH;5
Pluviométrie;6.35;mm;7
Luminosité;46095.84;lux;8
Vitesse du vent;42.37;km/h;9
Pluviométrie;3.48;mm;7
Luminosité;90943.25;lux;8
Vitesse du vent;45.0;km/h;9
Humidité du sol;58.86;%;4
pH du sol;6.91;pH;5
Humidité du sol;66.69;%;4
pH du sol;7.26;pH;5
Pluviométrie;0.35;mm;7
Luminosité;6606.86;lux;8
Vitesse du vent;33.63;km/h;9
Humidité du sol;65.72;%;4
pH du sol;6.75;pH;5
Pluviométrie;3.11;mm;7
Luminosité;67377.75;lux;8
Vitesse du vent;11.02;km/h;9
Humidité du sol;59.72;%;4
pH du sol;6.36;pH;5
Pluviométrie;9.23;mm;7
Luminosité;5245.21;lux;8
Vitesse du vent;27.17;km/h;9
Humidité du sol;54.63;%;4
pH du sol;6.89;pH;5
Pluviométrie;4.39;mm;7
Luminosité;5014.03;lux;8
Vitesse du vent;46.39;km/h;9
Luminosité;63663.51;lux;8
Vitesse du vent;49.69;km/h;9
Humidité du sol;68.54;%;4
pH du sol;7.04;pH;5
Pluviométrie;0.0;mm;7
Humidité du sol;60.64;%;4
pH du sol;6.94;pH;5
Pluviométrie;4.83;mm;7
Luminosité;36202.07;lux;8
Vitesse du vent;39.54;km/h;9
Humidité du sol;45.78;%;4
pH du sol;6.2;pH;5
Pluviométrie;4.68;mm;7
Luminosité;79674.88;lux;8
Vitesse du vent;43.83;km/h;9
Humidité du sol;73.09;%;4
pH du sol;6.09;pH;5
Pluviométrie;0.95;mm;7
Luminosité;62279.97;lux;8
Vitesse du vent;33.83;km/h;9
Humidité du sol;68.8;%;4
pH du sol;6.28;pH;5
Pluviométrie;2.55;mm;7
Luminosité;33946.53;lux;8
Vitesse du vent;39.95;km/h;9
Humidité du sol;64.6;%;4
pH du sol;6.31;pH;5
Pluviométrie;2.57;mm;7
Luminosité;73014.21;lux;8
Vitesse du vent;28.69;km/h;9
Humidité du sol;45.6;%;4
pH du sol;7.36;pH;5
Pluviométrie;4.68;mm;7
Luminosité;88601.34;lux;8
Vitesse du vent;47.57;km/h;9
Humidité du sol;49.83;%;4
pH du sol;7.14;pH;5
Pluviométrie;4.18;mm;7
Luminosité;45289.91;lux;8
Vitesse du vent;7.32;km/h;9
Pluviométrie;7.5;mm;7
Luminosité;55205.3;lux;8
Vitesse du vent;49.95;km/h;9
Humidité du sol;74.24;%;4
pH du sol;6.57;pH;5
Humidité du sol;74.15;%;4
pH du sol;7.33;pH;5
Pluviométrie;3.3;mm;7
Luminosité;27890.92;lux;8
Vitesse du vent;5.87;km/h;9
Humidité du sol;52.1;%;4
pH du sol;6.23;pH;5
Pluviométrie;6.13;mm;7
Luminosité;76979.7;lux;8
Vitesse du vent;8.9;km/h;9
Humidité du sol;62.32;%;4
pH du sol;6.88;pH;5
Pluviométrie;8.96;mm;7
Luminosité;55946.18;lux;8
Vitesse du vent;23.07;km/h;9
Humidité du sol;71.81;%;4
pH du sol;6.79;pH;5
Pluviométrie;1.27;mm;7
Luminosité;17381.33;lux;8
Vitesse du vent;8.78;km/h;9
Humidité du sol;47.98;%;4
pH du sol;7.29;pH;5
Pluviométrie;9.74;mm;7
Luminosité;18166.58;lux;8
Vitesse du vent;32.33;km/h;9
Humidité du sol;67.3;%;4
pH du sol;6.3;pH;5
Pluviométrie;7.52;mm;7
Luminosité;38714.84;lux;8
Vitesse du vent;49.71;km/h;9
Humidité du sol;73.93;%;4
pH du sol;6.43;pH;5
Pluviométrie;0.38;mm;7
Luminosité;22439.34;lux;8
Vitesse du vent;27.33;km/h;9
Humidité du sol;46.36;%;4
pH du sol;6.35;pH;5
Pluviométrie;2.97;mm;7
Luminosité;2309.36;lux;8
Vitesse du vent;2.37;km/h;9
Humidité du sol;78.35;%;4
pH du sol;7.41;pH;5
Pluviométrie;6.51;mm;7
Luminosité;20747.79;lux;8
Vitesse du vent;6.83;km/h;9
Humidité du sol;48.29;%;4
pH du sol;7.45;pH;5
Pluviométrie;2.42;mm;7
Luminosité;13148.4;lux;8
Vitesse du vent;7.42;km/h;9
Humidité du sol;67.04;%;4
pH du sol;6.82;pH;5
Pluviométrie;7.55;mm;7
Luminosité;48574.82;lux;8
Vitesse du vent;20.55;km/h;9
Humidité du sol;68.73;%;4
pH du sol;6.68;pH;5
Pluviométrie;1.75;mm;7
Luminosité;40242.65;lux;8
Vitesse du vent;19.94;km/h;9
Humidité du sol;54.64;%;4
pH du sol;6.76;pH;5
Pluviométrie;6.75;mm;7
Luminosité;74750.22;lux;8
Vitesse du vent;24.03;km/h;9
Humidité du sol;73.64;%;4
pH du sol;6.61;pH;5
Pluviométrie;2.15;mm;7
Luminosité;96390.21;lux;8
Vitesse du vent;47.26;km/h;9
Humidité du sol;56.73;%;4
pH du sol;6.73;pH;5
Pluviométrie;6.35;mm;7
Luminosité;3574.94;lux;8
Vitesse du vent;33.34;km/h;9
Humidité du sol;77.67;%;4
pH du sol;6.52;pH;5
Pluviométrie;4.44;mm;7
Luminosité;84249.78;lux;8
Vitesse du vent;21.88;km/h;9
Humidité du sol;77.25;%;4
pH du sol;7.13;pH;5
Pluviométrie;4.41;mm;7
Luminosité;18405.47;lux;8
Vitesse du vent;28.85;km/h;9
Humidité du sol;41.05;%;4
pH du sol;6.98;pH;5
Pluviométrie;3.68;mm;7
Luminosité;59383.47;lux;8
Vitesse du vent;9.19;km/h;9
Humidité du sol;40.82;%;4
pH du sol;6.83;pH;5
Pluviométrie;2.16;mm;7
Luminosité;69718.11;lux;8
Vitesse du vent;47.4;km/h;9
Humidité du sol;44.81;%;4
pH du sol;6.96;pH;5
Pluviométrie;8.51;mm;7
Luminosité;16846.64;lux;8
Vitesse du vent;17.07;km/h;9
Luminosité;78080.45;lux;8
Vitesse du vent;10.28;km/h;9
Humidité du sol;45.6;%;4
pH du sol;6.28;pH;5
Pluviométrie;7.04;mm;7
Humidité du sol;62.55;%;4
pH du sol;7.12;pH;5
Pluviométrie;9.66;mm;7
Luminosité;45126.2;lux;8
Vitesse du vent;3.06;km/h;9
Humidité du sol;76.19;%;4
pH du sol;6.58;pH;5
Pluviométrie;1.48;mm;7
Luminosité;39361.04;lux;8
Vitesse du vent;0.77;km/h;9
Humidité du sol;62.54;%;4
pH du sol;6.55;pH;5
Pluviométrie;9.42;mm;7
Luminosité;17709.42;lux;8
Vitesse du vent;13.3;km/h;9
Humidité du sol;48.74;%;4
pH du sol;6.55;pH;5
Pluviométrie;0.55;mm;7
Luminosité;64443.9;lux;8
Vitesse du vent;44.79;km/h;9
Humidité du sol;47.87;%;4
pH du sol;7.06;pH;5
Pluviométrie;0.14;mm;7
Luminosité;32624.98;lux;8
Vitesse du vent;11.79;km/h;9
pH du sol;7.01;pH;5
Pluviométrie;8.29;mm;7
Luminosité;52685.54;lux;8
Vitesse du vent;33.31;km/h;9
Humidité du sol;65.37;%;4
Humidité du sol;51.68;%;4
pH du sol;6.5;pH;5
Pluviométrie;4.62;mm;7
Luminosité;80649.72;lux;8
Vitesse du vent;2.24;km/h;9
Humidité du sol;60.37;%;4
pH du sol;7.12;pH;5
Pluviométrie;9.87;mm;7
Luminosité;3871.84;lux;8
Vitesse du vent;33.33;km/h;9
Humidité du sol;59.75;%;4
pH du sol;6.34;pH;5
Pluviométrie;4.37;mm;7
Luminosité;7078.1;lux;8
Vitesse du vent;32.42;km/h;9
Humidité du sol;78.1;%;4
pH du sol;7.08;pH;5
Pluviométrie;8.6;mm;7
Luminosité;56299.76;lux;8
Vitesse du vent;43.36;km/h;9
Humidité du sol;63.93;%;4
pH du sol;7.22;pH;5
Pluviométrie;5.28;mm;7
Luminosité;61388.74;lux;8
Vitesse du vent;27.86;km/h;9
Humidité du sol;56.34;%;4
pH du sol;7.46;pH;5
Pluviométrie;6.42;mm;7
Luminosité;45874.76;lux;8
Vitesse du vent;31.49;km/h;9
Pluviométrie;6.93;mm;7
Luminosité;57707.96;lux;8
Vitesse du vent;5.46;km/h;9
Humidité du sol;50.78;%;4
pH du sol;7.4;pH;5
Humidité du sol;61.64;%;4
pH du sol;6.51;pH;5
Pluviométrie;6.69;mm;7
Luminosité;52101.28;lux;8
Vitesse du vent;5.8;km/h;9
Humidité du sol;66.81;%;4
pH du sol;6.81;pH;5
Pluviométrie;0.97;mm;7
Luminosité;50207.16;lux;8
Vitesse du vent;10.41;km/h;9
Humidité du sol;74.33;%;4
pH du sol;6.03;pH;5
Pluviométrie;4.55;mm;7
Luminosité;43832.96;lux;8
Vitesse du vent;48.59;km/h;9
Humidité du sol;66.77;%;4
pH du sol;7.45;pH;5
Pluviométrie;5.43;mm;7
Luminosité;46880.1;lux;8
Vitesse du vent;36.9;km/h;9
Pluviométrie;0.62;mm;7
Luminosité;87253.8;lux;8
Vitesse du vent;43.79;km/h;9
Humidité du sol;76.4;%;4
pH du sol;6.31;pH;5
Humidité du sol;60.26;%;4
pH du sol;6.43;pH;5
Pluviométrie;2.84;mm;7
Luminosité;8615.08;lux;8
Vitesse du vent;8.08;km/h;9
Humidité du sol;74.33;%;4
pH du sol;7.22;pH;5
Pluviométrie;2.91;mm;7
Luminosité;68054.22;lux;8
Vitesse du vent;39.04;km/h;9
Humidité du sol;49.42;%;4
pH du sol;6.53;pH;5
Pluviométrie;7.24;mm;7
Luminosité;68533.46;lux;8
Vitesse du vent;4.13;km/h;9
Humidité du sol;71.5;%;4
pH du sol;7.4;pH;5
Pluviométrie;3.1;mm;7
Luminosité;80799.19;lux;8
Vitesse du vent;35.72;km/h;9
Humidité du sol;71.4;%;4
pH du sol;6.42;pH;5
Pluviométrie;0.53;mm;7
Luminosité;95520.84;lux;8
Vitesse du vent;47.28;km/h;9
Humidité du sol;45.4;%;4
pH du sol;6.56;pH;5
Pluviométrie;9.4;mm;7
Luminosité;91058.99;lux;8
Vitesse du vent;7.39;km/h;9
Humidité du sol;70.78;%;4
pH du sol;7.14;pH;5
Pluviométrie;4.99;mm;7
Luminosité;63392.74;lux;8
Vitesse du vent;33.27;km/h;9
Humidité du sol;75.09;%;4
pH du sol;7.25;pH;5
Pluviométrie;9.55;mm;7
Luminosité;77717.74;lux;8
Vitesse du vent;47.09;km/h;9
Humidité du sol;47.47;%;4
pH du sol;6.39;pH;5
Pluviométrie;2.92;mm;7
Luminosité;34349.43;lux;8
Vitesse du vent;25.39;km/h;9
Humidité du sol;74.98;%;4
pH du sol;6.24;pH;5
Pluviométrie;3.65;mm;7
Luminosité;31023.99;lux;8
Vitesse du vent;4.74;km/h;9
Humidité du sol;50.36;%;4
pH du sol;6.3;pH;5
Pluviométrie;9.63;mm;7
Luminosité;74997.51;lux;8
Vitesse du vent;15.74;km/h;9
Humidité du sol;71.47;%;4
pH du sol;6.95;pH;5
Pluviométrie;6.22;mm;7
Luminosité;91168.11;lux;8
Vitesse du vent;30.68;km/h;9
Humidité du sol;73.09;%;4
pH du sol;6.14;pH;5
Pluviométrie;9.35;mm;7
Luminosité;53013.61;lux;8
Vitesse du vent;21.24;km/h;9
Humidité du sol;77.85;%;4
pH du sol;6.15;pH;5
Pluviométrie;3.47;mm;7
Luminosité;15127.44;lux;8
Vitesse du vent;3.88;km/h;9
Humidité du sol;79.84;%;4
pH du sol;6.24;pH;5
Pluviométrie;3.01;mm;7
Luminosité;77918.2;lux;8
Vitesse du vent;9.63;km/h;9
Humidité du sol;54.31;%;4
pH du sol;7.0;pH;5
Pluviométrie;0.07;mm;7
Luminosité;78402.29;lux;8
Vitesse du vent;32.03;km/h;9
Humidité du sol;51.68;%;4
pH du sol;6.65;pH;5
Pluviométrie;9.12;mm;7
Luminosité;70818.42;lux;8
Vitesse du vent;3.93;km/h;9
pH du sol;6.53;pH;5
Pluviométrie;1.33;mm;7
Luminosité;78939.93;lux;8
Vitesse du vent;4.32;km/h;9
Humidité du sol;48.7;%;4
Humidité du sol;78.86;%;4
pH du sol;7.23;pH;5
Pluviométrie;0.59;mm;7
Luminosité;79397.82;lux;8
Vitesse du vent;7.68;km/h;9
Humidité du sol;41.52;%;4
pH du sol;6.11;pH;5
Pluviométrie;4.52;mm;7
Luminosité;56411.3;lux;8
Vitesse du vent;17.33;km/h;9
Pluviométrie;4.45;mm;7
Luminosité;54490.28;lux;8
Vitesse du vent;16.51;km/h;9
Humidité du sol;74.81;%;4
pH du sol;6.23;pH;5
Humidité du sol;63.44;%;4
pH du sol;6.61;pH;5
Pluviométrie;6.98;mm;7
Luminosité;31812.35;lux;8
Vitesse du vent;13.28;km/h;9
Humidité du sol;76.48;%;4
pH du sol;7.18;pH;5
Pluviométrie;7.1;mm;7
Luminosité;39836.69;lux;8
Vitesse du vent;13.99;km/h;9
